page_id	title	creation	age	views	page_edits	editors	len	references	talks	talkers	links	linked	urls	ref_urls	ref_pubs
12	Anarchism	2001	19	237226	19819	3773	96584	92	18720	925	1541	4130	69	43	65
25	Autism	2001	19	469365	10563	3731	133536	226	5524	883	602	2454	175	70	185
303	Alabama	2001	19	324587	9997	4381	197906	207	464	188	1598	16227	273	177	26
307	Abraham_Lincoln	2001	19	1382625	17489	5061	181659	160	8250	2064	1761	9212	221	51	102
308	Aristotle	2001	19	461580	9192	4065	145558	151	1637	563	2061	6167	188	80	81
324	Academy_Awards	2001	20	969383	8369	4101	127571	128	784	315	582	11122	165	120	6
339	Ayn_Rand	2001	19	399279	12278	3340	84640	349	10474	836	926	1776	94	40	53
358	Algeria	2001	19	499128	11185	4907	162042	141	906	337	1113	25153	224	122	32
624	Alaska	2001	19	559949	10179	4992	162433	119	961	432	1505	15048	178	112	5
662	Apollo_11	2001	19	526699	7330	3013	155390	174	1415	502	909	2049	189	157	32
666	Alkali_metal	2001	20	59754	3711	1269	211445	216	364	90	828	659	202	130	137
689	Asia	2001	20	544613	8023	3728	107993	77	1118	425	1785	15976	120	63	7
698	Atlantic_Ocean	2001	19	232522	5502	2819	109833	150	208	126	651	16083	135	68	50
701	Angola	2001	20	315231	5486	2738	148921	84	258	116	753	14249	167	60	28
717	Alberta	2001	19	226496	6251	2683	140117	141	298	129	829	19682	183	136	15
734	Actinopterygii	2001	20	72638	727	426	36283	19	41	25	508	20963	30	11	14
736	Albert_Einstein	2001	19	1565584	17268	5874	180229	144	9308	2048	1129	5108	290	98	69
737	Afghanistan	2001	19	814138	13739	3991	259737	258	2663	597	1982	22358	436	228	54
738	Albania	2001	19	698855	16186	5182	263879	316	3125	577	1666	19193	367	274	53
740	Allah	2001	19	218161	5090	2148	47959	35	2427	612	598	2196	57	22	11
746	Azerbaijan	2001	19	1077957	9789	3324	231783	223	2080	481	1341	24771	342	194	48
765	Abortion	2001	19	174013	13089	3319	172218	262	19995	1330	600	4599	224	155	151
771	American_Revolutionary_War	2001	19	543831	15700	5057	310593	231	7020	805	1407	12427	395	196	149
783	Alexander_the_Great	2001	19	1177199	11918	4704	189709	311	5164	1337	2187	5452	238	94	95
800	Anime	2001	19	619450	7324	2942	79505	102	2311	712	1194	11613	111	90	23
803	Arabic	2001	19	258822	9095	4419	187574	76	1043	399	968	11919	102	43	31
844	Amsterdam	2001	19	351609	9137	4005	188597	164	634	214	1324	20804	245	139	51
852	Alexander_Graham_Bell	2001	19	238645	7468	3006	140953	120	1583	511	923	2367	186	94	38
856	Apple_Inc.	2001	19	966695	13264	5656	355393	642	2886	1001	1984	10239	760	609	34
863	American_Civil_War	2001	19	1174931	12729	4119	218655	131	4709	1029	1326	37459	177	39	86
864	Andy_Warhol	2001	19	668039	9093	4362	134707	148	898	400	621	3081	159	101	47
874	Ancient_Egypt	2001	20	434537	7893	3278	132057	75	1317	575	897	5833	116	30	51
880	ABBA	2001	20	713158	8522	4048	130303	84	680	265	1100	2569	117	61	5
897	Arsenic	2001	19	120710	4207	2107	124402	151	248	139	615	2528	164	75	96
902	Atom	2001	19	186858	6792	2884	122144	128	1469	453	687	1763	175	100	53
904	Aluminium	2001	19	221963	8100	3449	138015	117	1603	459	685	4669	156	85	73
922	Anxiety	2001	20	235268	4484	2316	85792	116	358	150	391	3653	92	36	95
1023	Anarcho-capitalism	2001	19	106289	7798	1641	127423	46	3806	437	793	959	129	33	12
1030	Austrian_School	2001	19	69705	5544	1163	70021	80	3458	341	740	1026	94	59	24
